Id,Prediction
1,2
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,2
17,1
18,0
19,1
20,1
21,1
22,0
23,2
24,0
25,0
26,1
27,1
28,1
29,2
30,0
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,2
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,2
47,0
48,0
49,1
50,0
51,2
52,1
53,2
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,2
62,0
63,0
64,1
65,1
66,0
67,2
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,2
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,2
95,2
96,0
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,2
131,2
132,1
133,0
134,1
135,2
136,2
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,2
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,2
160,1
161,0
162,2
163,1
164,0
165,2
166,0
167,2
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,2
183,0
184,2
185,0
186,2
187,1
188,0
189,0
190,0
191,2
192,1
193,1
194,0
195,1
196,2
197,1
198,2
199,2
200,1
201,1
202,0
203,2
204,1
205,1
206,2
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,1
217,2
218,0
219,2
220,1
221,1
222,1
223,1
224,0
225,2
226,1
227,0
228,0
229,0
230,0
231,0
232,2
233,1
234,1
235,1
236,0
237,0
238,1
239,2
240,1
241,1
242,2
243,2
244,0
245,1
246,1
247,1
248,0
249,0
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,2
260,0
261,1
262,1
263,0
264,2
265,1
266,2
267,1
268,2
269,2
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,2
279,2
280,1
281,2
282,1
283,0
284,2
285,1
286,0
287,1
288,1
289,0
290,2
291,2
292,0
293,0
294,2
295,2
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,1
308,2
309,1
310,1
311,2
312,0
313,2
314,1
315,2
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,2
325,0
326,1
327,0
328,1
329,0
330,0
331,2
332,1
333,0
334,1
335,1
336,2
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,2
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,0
353,2
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,0
362,1
363,2
364,1
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,2
373,1
374,1
375,0
376,0
377,2
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,2
390,0
391,0
392,0
393,2
394,1
395,1
396,1
397,0
398,0
399,2
400,2
401,2
402,1
403,2
404,1
405,2
406,2
407,2
408,0
409,2
410,1
411,0
412,2
413,0
414,1
415,0
416,0
417,1
418,1
419,2
420,0
421,1
422,1
423,0
424,2
425,0
426,1
427,0
428,1
429,2
430,1
431,2
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,2
440,0
441,2
442,0
443,0
444,0
445,0
446,0
447,2
448,2
449,2
450,0
451,1
452,2
453,1
454,1
455,2
456,0
457,1
458,0
459,2
460,0
461,0
462,0
463,2
464,1
465,0
466,1
467,1
468,0
469,2
470,0
471,2
472,0
473,0
474,0
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,2
489,2
490,1
491,1
492,2
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,2
504,0
505,1
506,2
507,1
508,0
509,1
510,1
511,1
512,1
513,0
514,2
515,0
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,2
526,0
527,2
528,1
529,1
530,0
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,2
546,2
547,2
548,1
549,2
550,2
551,0
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,2
571,0
572,0
573,0
574,0
575,2
576,1
577,1
578,2
579,0
580,0
581,0
582,1
583,0
584,1
585,1
586,2
587,2
588,2
589,0
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,2
603,1
604,1
605,2
606,1
607,1
608,2
609,0
610,2
611,1
612,1
613,2
614,1
615,0
616,2
617,2
618,0
619,2
620,0
621,0
622,1
623,0
624,2
625,2
626,1
627,1
628,0
629,1
630,1
631,0
632,2
633,0
634,1
635,0
636,2
637,0
638,0
639,2
640,2
641,2
642,1
643,0
644,2
645,1
646,1
647,0
648,1
649,1
650,2
651,0
652,1
653,2
654,1
655,1
656,2
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,2
668,1
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,2
677,0
678,2
679,2
680,2
681,1
682,0
683,1
684,1
685,2
686,2
687,2
688,2
689,1
690,1
691,0
692,1
693,1
694,2
695,1
696,0
697,1
698,1
699,0
700,2
701,1
702,1
703,1
704,1
705,0
706,2
707,1
708,0
709,1
710,1
711,2
712,1
713,0
714,2
715,0
716,1
717,0
718,1
719,1
720,1
721,1
722,0
723,2
724,2
725,1
726,2
727,2
728,1
729,0
730,2
731,1
732,1
733,1
734,2
735,1
736,0
737,2
738,1
739,2
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,2
748,0
749,1
750,1
751,1
752,1
753,0
754,1
755,2
756,1
757,1
758,0
759,1
760,1
761,2
762,2
763,0
764,2
765,2
766,2
767,1
768,2
769,0
770,2
771,2
772,1
773,0
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,2
782,2
783,0
784,2
785,1
786,1
787,1
788,1
789,1
790,2
791,1
792,2
793,2
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,1
804,2
805,0
806,1
807,1
808,2
809,1
810,2
811,1
812,1
813,1
814,1
815,0
816,0
817,1
818,2
819,2
820,1
821,1
822,2
823,1
824,2
825,1
826,0
827,1
828,1
829,1
830,1
831,1
832,1
833,0
834,1
835,0
836,2
837,1
838,2
839,2
840,1
841,1
842,1
843,2
844,0
845,1
846,2
847,2
848,0
849,2
850,1
851,2
852,1
853,1
854,2
855,0
856,1
857,2
858,2
859,0
860,1
861,2
862,1
863,1
864,0
865,1
866,1
867,1
868,1
869,0
870,1
871,0
872,1
873,1
874,1
875,2
876,1
877,0
878,0
879,2
880,1
881,0
882,1
883,1
884,1
885,1
886,1
887,2
888,1
889,2
890,1
891,1
892,0
893,1
894,2
895,0
896,0
897,0
898,0
899,1
900,1
901,1
902,2
903,0
904,1
905,1
906,2
907,1
908,2
909,1
910,0
911,2
912,2
913,0
914,0
915,1
916,2
917,2
918,1
919,1
920,0
921,0
922,0
923,1
924,2
925,2
926,2
927,1
928,2
929,0
930,1
931,1
932,1
933,0
934,1
935,1
936,0
937,1
938,1
939,1
940,0
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,0
949,2
950,1
951,1
952,0
953,1
954,1
955,1
956,0
957,1
958,0
959,0
960,2
961,1
962,1
963,0
964,0
965,1
966,1
967,0
968,1
969,2
970,0
971,1
972,1
973,0
974,0
975,0
976,2
977,1
978,1
979,0
980,1
981,0
982,0
983,0
984,2
985,2
986,0
987,0
988,1
989,2
990,2
991,2
992,1
993,1
994,1
995,2
996,0
997,0
998,1
999,1
1000,2
1001,0
1002,1
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,0
1011,1
1012,0
1013,0
1014,1
1015,1
1016,1
1017,1
1018,2
1019,0
1020,0
1021,1
1022,1
1023,2
1024,1
1025,0
1026,1
1027,1
1028,1
1029,2
1030,1
1031,0
1032,1
1033,0
1034,2
1035,1
1036,2
1037,1
1038,1
1039,2
1040,2
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,2
1048,1
1049,1
1050,1
1051,0
1052,1
1053,2
1054,1
1055,2
1056,1
1057,0
1058,0
1059,0
1060,1
1061,2
1062,0
1063,1
1064,1
1065,1
1066,1
1067,1
1068,0
1069,0
1070,0
1071,1
1072,1
1073,0
1074,0
1075,2
1076,2
1077,1
1078,2
1079,1
1080,2
1081,0
